rank,name,price_usd,price_btc,available_supply,market_cap_usd,max_supply,total_supply,percent_change_1h,percent_change_7d,percent_change_24h,24h_volume_usd,last_updated
1,Bitcoin,17346.0,1.0,16753225.0,290601440850,21000000.0,16753225.0,-0.39,1.88,-5.24,21127000000.0,1513769655
2,Ethereum,819.307,0.0474878,96455529.0,79026690277.0,null,96455529.0,-0.09,20.73,-1.31,4151520000.0,1513769656
3,Bitcoin Cash,3420.26,0.198241,16866238.0,57686917472.0,21000000.0,16866238.0,3.7,114.91,48.55,8558880000.0,1513769678
4,Ripple,0.770061,0.00004463,38739144847.0,29831504620.0,100000000000,99993093880.0,-0.85,68.45,-2.66,1043100000.0,1513769641
5,Litecoin,330.419,0.0191514,54389208.0,17971227769.0,84000000.0,54389208.0,0.09,4.83,-4.83,2070960000.0,1513769641
6,IOTA,5.31967,0.00030833,2779530283.0,14786183861.0,2779530283.0,2779530283.0,-2.87,22.62,32.66,1173320000.0,1513769673
7,Cardano,0.506526,0.00002936,25927070538.0,13132735331.0,45000000000.0,31112483745.0,-1.17,286.39,-6.88,207834000.0,1513769682
8,Dash,1328.25,0.0769865,7764237.0,10312847339.0,18900000.0,7764237.0,0.14,47.74,11.97,435984000.0,1513769642
9,NEM,0.930128,0.00005391,8999999999.0,8371151999.0,null,8999999999.0,-0.08,71.66,1.95,131581000.0,1513769662
10,Bitcoin Gold,423.599,0.0245522,16716686.0,7081171511.0,21000000.0,16816686.0,2.2,54.24,27.12,814391000.0,1513769686
11,Monero,437.203,0.0253407,15501211.0,6777175884.0,null,15501211.0,1.62,38.6,16.25,600269000.0,1513769644
12,EOS,12.1838,0.00070618,551157762.0,6715195940.0,null,1000000000.0,-1.64,87.78,20.96,1113030000.0,1513769674
13,Qtum,66.5913,0.00385969,73746624.0,4910883563.0,null,100246624.0,-0.09,282.66,-5.18,1400000000.0,1513769671
14,NEO,71.1197,0.00412217,65000000.0,4622780500.0,null,100000000.0,-0.93,62.49,-3.98,295076000.0,1513769661
15,Stellar,0.247944,0.00001437,17858684690.0,4427953717.0,null,103531054117,0.39,59.96,-9.76,204796000.0,1513769650
16,Ethereum Classic,43.1757,0.00250251,98506170.0,4253072844.0,null,98506170.0,0.74,41.03,5.57,859911000.0,1513769663
17,TRON,0.0388625,0.00000225,65748192475.0,2555139130.0,null,100000000000,-0.17,354.29,-18.77,187627000.0,1513769680
18,Lisk,17.1604,0.00099463,116127488.0,1992794145.0,null,116127488.0,-0.11,79.46,1.05,95850700.0,1513769657
19,BitConnect,379.886,0.0220186,4803908.0,1824937422.0,28000000.0,9156070.0,0.03,-0.94,-7.07,20765500.0,1513769665
20,Verge,0.125503,0.00000727,14411689158.0,1808710224.0,16555000000.0,14411689158.0,26.04,1091.77,104.93,550683000.0,1513769649
21,Populous,43.5355,0.00252336,41252246.0,1795937156.0,53252246.0,53252246.0,1.4,10.31,-8.0,4546530.0,1513769675
22,OmiseGO,17.5694,0.00101834,102042552.0,1792826409.0,null,140245398.0,0.5,62.02,-9.29,201128000.0,1513769675
23,Zcash,614.483,0.035616,2875131.0,1766719276.0,null,2875131.0,0.11,54.39,6.7,332936000.0,1513769662
24,Waves,15.4383,0.00089482,100000000.0,1543830000.0,null,100000000.0,-0.99,5.33,-8.78,92706600.0,1513769661
